,episode reward,episode,Method
0,-109.20758196165501,1,IIFDS-PPO
1,-97.84409043123327,2,IIFDS-PPO
2,-89.85081485998495,3,IIFDS-PPO
3,-82.87671624173218,4,IIFDS-PPO
4,-76.64424347456375,5,IIFDS-PPO
5,-74.74566594284255,6,IIFDS-PPO
6,-72.46892623222365,7,IIFDS-PPO
7,-70.24293138128847,8,IIFDS-PPO
8,-68.14733390082493,9,IIFDS-PPO
9,-65.66324074742055,10,IIFDS-PPO
10,-63.368206640646704,11,IIFDS-PPO
11,-61.42511011483983,12,IIFDS-PPO
12,-59.61988941989839,13,IIFDS-PPO
13,-58.19208170562264,14,IIFDS-PPO
14,-57.27044184627464,15,IIFDS-PPO
15,-56.49259638993848,16,IIFDS-PPO
16,-55.86972211289172,17,IIFDS-PPO
17,-55.274220710478595,18,IIFDS-PPO
18,-54.62801191077764,19,IIFDS-PPO
19,-54.03927383155573,20,IIFDS-PPO
20,-53.622207181423036,21,IIFDS-PPO
21,-53.38322020754114,22,IIFDS-PPO
22,-53.24884698364051,23,IIFDS-PPO
23,-53.200718388189294,24,IIFDS-PPO
24,-53.306342868525846,25,IIFDS-PPO
25,-53.50807399129285,26,IIFDS-PPO
26,-53.60640797899989,27,IIFDS-PPO
27,-53.568465532211334,28,IIFDS-PPO
28,-53.605789778356076,29,IIFDS-PPO
29,-53.5277666887275,30,IIFDS-PPO
30,-53.30389739896071,31,IIFDS-PPO
31,-52.998098009128675,32,IIFDS-PPO
32,-52.85402788152285,33,IIFDS-PPO
33,-52.60270611415409,34,IIFDS-PPO
34,-52.34223047786951,35,IIFDS-PPO
35,-52.039580123802935,36,IIFDS-PPO
36,-51.920297475215065,37,IIFDS-PPO
37,-51.70959092790658,38,IIFDS-PPO
38,-51.552140414953975,39,IIFDS-PPO
39,-51.43809107050318,40,IIFDS-PPO
40,-51.38209740666178,41,IIFDS-PPO
41,-51.31750527144974,42,IIFDS-PPO
42,-51.28792115579771,43,IIFDS-PPO
43,-51.212511968629386,44,IIFDS-PPO
44,-51.180460615385,45,IIFDS-PPO
45,-51.17467985750763,46,IIFDS-PPO
46,-51.187811446018465,47,IIFDS-PPO
47,-51.35273383868364,48,IIFDS-PPO
48,-51.58803279685387,49,IIFDS-PPO
49,-51.61821584453478,50,IIFDS-PPO
50,-51.598721862174884,51,IIFDS-PPO
51,-51.55830904522638,52,IIFDS-PPO
52,-51.37540508321574,53,IIFDS-PPO
53,-51.14752036469068,54,IIFDS-PPO
54,-51.16131408129807,55,IIFDS-PPO
55,-51.18144013263444,56,IIFDS-PPO
56,-51.25186418221249,57,IIFDS-PPO
57,-51.21193243797493,58,IIFDS-PPO
58,-51.24116331914672,59,IIFDS-PPO
59,-51.26513614331377,60,IIFDS-PPO
60,-51.28415921887758,61,IIFDS-PPO
61,-51.312728704060966,62,IIFDS-PPO
62,-51.47943439259976,63,IIFDS-PPO
63,-51.54071291581282,64,IIFDS-PPO
64,-51.565892570185405,65,IIFDS-PPO
65,-51.66811618815786,66,IIFDS-PPO
66,-51.71407190887466,67,IIFDS-PPO
67,-51.73918611577086,68,IIFDS-PPO
68,-51.82366394734443,69,IIFDS-PPO
69,-51.73692889490339,70,IIFDS-PPO
70,-51.617614820072575,71,IIFDS-PPO
71,-51.47347630237702,72,IIFDS-PPO
72,-51.33739722978726,73,IIFDS-PPO
73,-51.18964238213394,74,IIFDS-PPO
74,-51.17688856605341,75,IIFDS-PPO
75,-51.15957966186387,76,IIFDS-PPO
76,-51.14826425842512,77,IIFDS-PPO
77,-51.151017747253064,78,IIFDS-PPO
78,-51.240581478702424,79,IIFDS-PPO
79,-51.269520158320894,80,IIFDS-PPO
80,-51.33314159094573,81,IIFDS-PPO
81,-51.41066080108592,82,IIFDS-PPO
82,-51.43563198059782,83,IIFDS-PPO
83,-51.40506393492082,84,IIFDS-PPO
84,-51.415685967631795,85,IIFDS-PPO
85,-51.43531158663593,86,IIFDS-PPO
86,-51.4716666415701,87,IIFDS-PPO
87,-51.52053784815471,88,IIFDS-PPO
88,-51.554697948198644,89,IIFDS-PPO
89,-51.58280336883563,90,IIFDS-PPO
90,-51.58202786417478,91,IIFDS-PPO
91,-51.56750656695799,92,IIFDS-PPO
92,-51.59575547573896,93,IIFDS-PPO
93,-51.669790773373045,94,IIFDS-PPO
94,-51.766391141834326,95,IIFDS-PPO
95,-51.79978330983547,96,IIFDS-PPO
96,-51.81716923942162,97,IIFDS-PPO
97,-51.844865867870226,98,IIFDS-PPO
98,-51.80882819197196,99,IIFDS-PPO
99,-51.76018209252209,100,IIFDS-PPO
100,-51.82012046097153,101,IIFDS-PPO
101,-51.94868766476611,102,IIFDS-PPO
102,-52.05224558402035,103,IIFDS-PPO
103,-52.133792270427634,104,IIFDS-PPO
104,-52.19185054525942,105,IIFDS-PPO
105,-52.21449587245435,106,IIFDS-PPO
106,-52.17627537623496,107,IIFDS-PPO
107,-52.110934972805936,108,IIFDS-PPO
108,-52.0431523882148,109,IIFDS-PPO
109,-51.94788696805515,110,IIFDS-PPO
110,-51.83752674164413,111,IIFDS-PPO
111,-51.779519533743716,112,IIFDS-PPO
112,-51.7582802358,113,IIFDS-PPO
113,-51.70789498077497,114,IIFDS-PPO
114,-51.70834838040585,115,IIFDS-PPO
115,-51.75586615252697,116,IIFDS-PPO
116,-51.68091736548289,117,IIFDS-PPO
117,-51.58305764517858,118,IIFDS-PPO
118,-51.60818006768218,119,IIFDS-PPO
119,-51.6705973186273,120,IIFDS-PPO
120,-51.643114617104025,121,IIFDS-PPO
121,-51.68381547342007,122,IIFDS-PPO
122,-51.64423994452415,123,IIFDS-PPO
123,-51.53761144226778,124,IIFDS-PPO
124,-51.37368120910086,125,IIFDS-PPO
125,-51.30714005133878,126,IIFDS-PPO
126,-51.34047606365506,127,IIFDS-PPO
127,-51.494977120044574,128,IIFDS-PPO
128,-51.6310045601106,129,IIFDS-PPO
129,-51.702773633850406,130,IIFDS-PPO
130,-51.7314807182416,131,IIFDS-PPO
131,-51.757697152999,132,IIFDS-PPO
132,-51.72679301120307,133,IIFDS-PPO
133,-51.67302339065075,134,IIFDS-PPO
134,-51.73860958206312,135,IIFDS-PPO
135,-51.7711281141888,136,IIFDS-PPO
136,-51.699188326797,137,IIFDS-PPO
137,-51.65387813616475,138,IIFDS-PPO
138,-51.66292384079308,139,IIFDS-PPO
139,-51.62169721559972,140,IIFDS-PPO
140,-51.63039711193238,141,IIFDS-PPO
141,-51.65865169543329,142,IIFDS-PPO
142,-51.743238338162726,143,IIFDS-PPO
143,-51.78554042498024,144,IIFDS-PPO
144,-51.85267577563602,145,IIFDS-PPO
145,-51.86339996224551,146,IIFDS-PPO
146,-51.88221306718871,147,IIFDS-PPO
147,-51.71019164427783,148,IIFDS-PPO
148,-51.58058751881854,149,IIFDS-PPO
149,-51.18416302837059,150,IIFDS-PPO
150,-108.50293154756692,1,IIFDS-PPO-Modify
151,-97.99347338187204,2,IIFDS-PPO-Modify
152,-90.28085282912255,3,IIFDS-PPO-Modify
153,-83.83994391482074,4,IIFDS-PPO-Modify
154,-77.83003240533637,5,IIFDS-PPO-Modify
155,-76.46366678560621,6,IIFDS-PPO-Modify
156,-74.93290868491577,7,IIFDS-PPO-Modify
157,-72.91662574521135,8,IIFDS-PPO-Modify
158,-70.73699427573703,9,IIFDS-PPO-Modify
159,-68.12802188765552,10,IIFDS-PPO-Modify
160,-65.4454851237911,11,IIFDS-PPO-Modify
161,-62.81254739318257,12,IIFDS-PPO-Modify
162,-60.603118626725475,13,IIFDS-PPO-Modify
163,-58.66632005147697,14,IIFDS-PPO-Modify
164,-57.223184593187796,15,IIFDS-PPO-Modify
165,-56.16554743215399,16,IIFDS-PPO-Modify
166,-55.3286159455386,17,IIFDS-PPO-Modify
167,-54.823741476111046,18,IIFDS-PPO-Modify
168,-54.46999848251234,19,IIFDS-PPO-Modify
169,-54.32707199534578,20,IIFDS-PPO-Modify
170,-54.16025247560249,21,IIFDS-PPO-Modify
171,-54.020157395921174,22,IIFDS-PPO-Modify
172,-53.83452076023133,23,IIFDS-PPO-Modify
173,-53.68340355270762,24,IIFDS-PPO-Modify
174,-53.493583552624195,25,IIFDS-PPO-Modify
175,-53.38372745751785,26,IIFDS-PPO-Modify
176,-53.31930545973709,27,IIFDS-PPO-Modify
177,-53.219767693090034,28,IIFDS-PPO-Modify
178,-53.20622686324333,29,IIFDS-PPO-Modify
179,-53.10098575543418,30,IIFDS-PPO-Modify
180,-52.98177206990791,31,IIFDS-PPO-Modify
181,-52.84864366147085,32,IIFDS-PPO-Modify
182,-52.66389082091348,33,IIFDS-PPO-Modify
183,-52.53603663700113,34,IIFDS-PPO-Modify
184,-52.38525559896328,35,IIFDS-PPO-Modify
185,-52.303515402124674,36,IIFDS-PPO-Modify
186,-52.217456791452605,37,IIFDS-PPO-Modify
187,-52.20297814880128,38,IIFDS-PPO-Modify
188,-52.11344443622069,39,IIFDS-PPO-Modify
189,-52.18700210105086,40,IIFDS-PPO-Modify
190,-52.216899030956526,41,IIFDS-PPO-Modify
191,-52.338660332648054,42,IIFDS-PPO-Modify
192,-52.316022681594404,43,IIFDS-PPO-Modify
193,-52.34103406459302,44,IIFDS-PPO-Modify
194,-52.24483356977392,45,IIFDS-PPO-Modify
195,-52.24469362947242,46,IIFDS-PPO-Modify
196,-52.12388425594547,47,IIFDS-PPO-Modify
197,-52.2067962700448,48,IIFDS-PPO-Modify
198,-52.25348770435048,49,IIFDS-PPO-Modify
199,-52.43768943257294,50,IIFDS-PPO-Modify
200,-52.51810645840889,51,IIFDS-PPO-Modify
201,-52.66936432808011,52,IIFDS-PPO-Modify
202,-52.71925479447658,53,IIFDS-PPO-Modify
203,-52.76842305371095,54,IIFDS-PPO-Modify
204,-52.57835888512043,55,IIFDS-PPO-Modify
205,-52.48865805160349,56,IIFDS-PPO-Modify
206,-52.40950087770837,57,IIFDS-PPO-Modify
207,-52.34508983749639,58,IIFDS-PPO-Modify
208,-52.31051798621003,59,IIFDS-PPO-Modify
209,-52.46736442477449,60,IIFDS-PPO-Modify
210,-52.54012549261445,61,IIFDS-PPO-Modify
211,-52.541024347457586,62,IIFDS-PPO-Modify
212,-52.46228128901155,63,IIFDS-PPO-Modify
213,-52.457131162291795,64,IIFDS-PPO-Modify
214,-52.267919378049655,65,IIFDS-PPO-Modify
215,-52.09857369468242,66,IIFDS-PPO-Modify
216,-52.092861955437925,67,IIFDS-PPO-Modify
217,-52.18017710152649,68,IIFDS-PPO-Modify
218,-52.186720645882495,69,IIFDS-PPO-Modify
219,-52.21726423744045,70,IIFDS-PPO-Modify
220,-52.15052875564017,71,IIFDS-PPO-Modify
221,-51.96371790969887,72,IIFDS-PPO-Modify
222,-51.797534861555825,73,IIFDS-PPO-Modify
223,-51.585391287037986,74,IIFDS-PPO-Modify
224,-51.503372402762466,75,IIFDS-PPO-Modify
225,-51.50719184871305,76,IIFDS-PPO-Modify
226,-51.64177693571486,77,IIFDS-PPO-Modify
227,-51.76831178862359,78,IIFDS-PPO-Modify
228,-51.77893930488743,79,IIFDS-PPO-Modify
229,-51.8059778214657,80,IIFDS-PPO-Modify
230,-51.74025331177286,81,IIFDS-PPO-Modify
231,-51.573083190122745,82,IIFDS-PPO-Modify
232,-51.544433584776925,83,IIFDS-PPO-Modify
233,-51.66160902812892,84,IIFDS-PPO-Modify
234,-51.750872845168416,85,IIFDS-PPO-Modify
235,-51.8814227991273,86,IIFDS-PPO-Modify
236,-51.953047795540556,87,IIFDS-PPO-Modify
237,-51.903610824578024,88,IIFDS-PPO-Modify
238,-51.84246371761831,89,IIFDS-PPO-Modify
239,-51.79073513482558,90,IIFDS-PPO-Modify
240,-51.76395568587823,91,IIFDS-PPO-Modify
241,-51.74869792045354,92,IIFDS-PPO-Modify
242,-51.72480759255367,93,IIFDS-PPO-Modify
243,-51.65710121368958,94,IIFDS-PPO-Modify
244,-51.574282771316405,95,IIFDS-PPO-Modify
245,-51.50536763484156,96,IIFDS-PPO-Modify
246,-51.409891405979465,97,IIFDS-PPO-Modify
247,-51.29188938333461,98,IIFDS-PPO-Modify
248,-51.2363748909307,99,IIFDS-PPO-Modify
249,-51.16727640622808,100,IIFDS-PPO-Modify
250,-51.118214013176114,101,IIFDS-PPO-Modify
251,-51.12472815667634,102,IIFDS-PPO-Modify
252,-51.12414878529199,103,IIFDS-PPO-Modify
253,-51.06901475047343,104,IIFDS-PPO-Modify
254,-51.0773440598389,105,IIFDS-PPO-Modify
255,-51.120545262306806,106,IIFDS-PPO-Modify
256,-51.14350180059318,107,IIFDS-PPO-Modify
257,-51.21824339893683,108,IIFDS-PPO-Modify
258,-51.35026219535352,109,IIFDS-PPO-Modify
259,-51.43299661708376,110,IIFDS-PPO-Modify
260,-51.439745846538884,111,IIFDS-PPO-Modify
261,-51.418367855877115,112,IIFDS-PPO-Modify
262,-51.401054822382186,113,IIFDS-PPO-Modify
263,-51.39473905650421,114,IIFDS-PPO-Modify
264,-51.34962673492388,115,IIFDS-PPO-Modify
265,-51.36822123846613,116,IIFDS-PPO-Modify
266,-51.45697776971372,117,IIFDS-PPO-Modify
267,-51.49300828794054,118,IIFDS-PPO-Modify
268,-51.51616594140121,119,IIFDS-PPO-Modify
269,-51.59962274276238,120,IIFDS-PPO-Modify
270,-51.60089984150768,121,IIFDS-PPO-Modify
271,-51.584558163439375,122,IIFDS-PPO-Modify
272,-51.577980851271924,123,IIFDS-PPO-Modify
273,-51.55893537356464,124,IIFDS-PPO-Modify
274,-51.48638007742594,125,IIFDS-PPO-Modify
275,-51.29938927125924,126,IIFDS-PPO-Modify
276,-51.104843117393145,127,IIFDS-PPO-Modify
277,-50.89989213942221,128,IIFDS-PPO-Modify
278,-50.70216560799394,129,IIFDS-PPO-Modify
279,-50.52988264565002,130,IIFDS-PPO-Modify
280,-50.53344167192428,131,IIFDS-PPO-Modify
281,-50.509968235032744,132,IIFDS-PPO-Modify
