,episode reward,episode,Method
0,-75.09266657108266,1,IIFDS-PPO
1,-73.95124843049744,2,IIFDS-PPO
2,-72.88160443305205,3,IIFDS-PPO
3,-71.81471268702035,4,IIFDS-PPO
4,-70.53202734946012,5,IIFDS-PPO
5,-69.63131521905757,6,IIFDS-PPO
6,-68.33218393990771,7,IIFDS-PPO
7,-67.38095382709207,8,IIFDS-PPO
8,-66.18163373856075,9,IIFDS-PPO
9,-65.11145866463407,10,IIFDS-PPO
10,-63.92625134400689,11,IIFDS-PPO
11,-63.14065661108253,12,IIFDS-PPO
12,-62.389576660734704,13,IIFDS-PPO
13,-62.05494537422224,14,IIFDS-PPO
14,-61.819596301390895,15,IIFDS-PPO
15,-61.25608696569243,16,IIFDS-PPO
16,-60.52716442396409,17,IIFDS-PPO
17,-59.8181782527886,18,IIFDS-PPO
18,-59.30684297445729,19,IIFDS-PPO
19,-58.51428873448549,20,IIFDS-PPO
20,-58.1597439603847,21,IIFDS-PPO
21,-57.84486140292052,22,IIFDS-PPO
22,-57.31936169764007,23,IIFDS-PPO
23,-56.937670532358034,24,IIFDS-PPO
24,-57.023684376398926,25,IIFDS-PPO
25,-57.7117241939771,26,IIFDS-PPO
26,-58.73227351022492,27,IIFDS-PPO
27,-59.54503397429795,28,IIFDS-PPO
28,-60.434465919309496,29,IIFDS-PPO
29,-61.519146192670604,30,IIFDS-PPO
30,-60.99105372314054,31,IIFDS-PPO
31,-60.724144624072295,32,IIFDS-PPO
32,-60.03603837410465,33,IIFDS-PPO
33,-59.17410461438756,34,IIFDS-PPO
34,-58.61592836309304,35,IIFDS-PPO
35,-59.2110934310348,36,IIFDS-PPO
36,-59.824507778225524,37,IIFDS-PPO
37,-60.985088193290004,38,IIFDS-PPO
38,-61.406835405212256,39,IIFDS-PPO
39,-61.8647292332662,40,IIFDS-PPO
40,-62.26978140007096,41,IIFDS-PPO
41,-62.16777905089803,42,IIFDS-PPO
42,-61.965834140729854,43,IIFDS-PPO
43,-62.402584941439606,44,IIFDS-PPO
44,-62.05415274145747,45,IIFDS-PPO
45,-61.945518580432044,46,IIFDS-PPO
46,-62.00413841260135,47,IIFDS-PPO
47,-61.87825742454064,48,IIFDS-PPO
48,-62.06158222512661,49,IIFDS-PPO
49,-61.60536759656407,50,IIFDS-PPO
50,-60.17176657032317,51,IIFDS-PPO
51,-58.763077625963135,52,IIFDS-PPO
52,-57.64523403433913,53,IIFDS-PPO
53,-57.887336557187865,54,IIFDS-PPO
54,-58.60296157020542,55,IIFDS-PPO
55,-60.126580597891476,56,IIFDS-PPO
56,-61.16106451945787,57,IIFDS-PPO
57,-61.51158215944845,58,IIFDS-PPO
58,-59.82778949885809,59,IIFDS-PPO
59,-58.843342915781705,60,IIFDS-PPO
60,-57.29820298767933,61,IIFDS-PPO
61,-56.14031988533154,62,IIFDS-PPO
62,-57.58374051567319,63,IIFDS-PPO
63,-58.03481464814126,64,IIFDS-PPO
64,-58.150268391492816,65,IIFDS-PPO
65,-58.44160076282843,66,IIFDS-PPO
66,-58.60135489382159,67,IIFDS-PPO
67,-56.96985536749851,68,IIFDS-PPO
68,-56.56935270845929,69,IIFDS-PPO
69,-55.790073334537,70,IIFDS-PPO
70,-55.2970443968585,71,IIFDS-PPO
71,-55.1527232012751,72,IIFDS-PPO
72,-54.772554121880034,73,IIFDS-PPO
73,-54.38043534191022,74,IIFDS-PPO
74,-54.34101606668937,75,IIFDS-PPO
75,-54.305712223573586,76,IIFDS-PPO
76,-54.157951652866075,77,IIFDS-PPO
77,-54.49654475562072,78,IIFDS-PPO
78,-55.03939116218078,79,IIFDS-PPO
79,-55.32640756396044,80,IIFDS-PPO
80,-55.38685808396791,81,IIFDS-PPO
81,-55.298610432521954,82,IIFDS-PPO
82,-55.199801374362195,83,IIFDS-PPO
83,-55.119353498582036,84,IIFDS-PPO
84,-55.205061230342274,85,IIFDS-PPO
85,-55.50349392396451,86,IIFDS-PPO
86,-55.81740089989139,87,IIFDS-PPO
87,-55.60069519770131,88,IIFDS-PPO
88,-55.308411532346604,89,IIFDS-PPO
89,-55.55122274417704,90,IIFDS-PPO
90,-55.6533067592151,91,IIFDS-PPO
91,-55.92100140005879,92,IIFDS-PPO
92,-56.99081018265914,93,IIFDS-PPO
93,-58.79068094004643,94,IIFDS-PPO
94,-59.80057037627832,95,IIFDS-PPO
95,-60.32311189184504,96,IIFDS-PPO
96,-60.322824027548656,97,IIFDS-PPO
97,-60.383098014284926,98,IIFDS-PPO
98,-59.416284172751396,99,IIFDS-PPO
99,-58.49043612517071,100,IIFDS-PPO
100,-59.56045910689291,101,IIFDS-PPO
101,-60.73573317347431,102,IIFDS-PPO
102,-61.146152026767844,103,IIFDS-PPO
103,-61.98201867374382,104,IIFDS-PPO
104,-63.41732020092455,105,IIFDS-PPO
105,-63.27080625450474,106,IIFDS-PPO
106,-63.57941560183404,107,IIFDS-PPO
107,-63.364390995361006,108,IIFDS-PPO
108,-62.918937615797965,109,IIFDS-PPO
109,-61.38029469166382,110,IIFDS-PPO
110,-60.53724778055376,111,IIFDS-PPO
111,-60.282022244560174,112,IIFDS-PPO
112,-60.93508513373278,113,IIFDS-PPO
113,-61.56860138124047,114,IIFDS-PPO
114,-62.854336694051675,115,IIFDS-PPO
115,-63.35203350763246,116,IIFDS-PPO
116,-63.42396422496106,117,IIFDS-PPO
117,-63.39690773008724,118,IIFDS-PPO
118,-63.36600049006216,119,IIFDS-PPO
119,-62.91022130127672,120,IIFDS-PPO
120,-63.030537166989575,121,IIFDS-PPO
121,-62.967806094737604,122,IIFDS-PPO
122,-62.794882903812315,123,IIFDS-PPO
123,-62.79422484987825,124,IIFDS-PPO
124,-63.24955246501029,125,IIFDS-PPO
125,-63.53888388979261,126,IIFDS-PPO
126,-63.296871679980796,127,IIFDS-PPO
127,-63.173548253145526,128,IIFDS-PPO
128,-62.77744112033129,129,IIFDS-PPO
129,-62.825565182155074,130,IIFDS-PPO
130,-62.821719795240256,131,IIFDS-PPO
131,-62.5466665803026,132,IIFDS-PPO
132,-62.826521538461456,133,IIFDS-PPO
133,-62.67866695271326,134,IIFDS-PPO
134,-62.59605976058596,135,IIFDS-PPO
135,-61.94572478698394,136,IIFDS-PPO
136,-62.35722614419021,137,IIFDS-PPO
137,-62.041516709820684,138,IIFDS-PPO
138,-62.2937295098042,139,IIFDS-PPO
139,-61.30774788346025,140,IIFDS-PPO
140,-61.33730661272047,141,IIFDS-PPO
141,-60.54304094842885,142,IIFDS-PPO
142,-60.599388022185195,143,IIFDS-PPO
143,-60.584917257631346,144,IIFDS-PPO
144,-61.034583734184274,145,IIFDS-PPO
145,-61.34840767440302,146,IIFDS-PPO
146,-61.70640407711007,147,IIFDS-PPO
147,-61.703044191142006,148,IIFDS-PPO
148,-61.81633944715828,149,IIFDS-PPO
149,-62.57570126779229,150,IIFDS-PPO
150,-75.11852346233121,1,IIFDS-PPO-Modify
151,-73.97243583447049,2,IIFDS-PPO-Modify
152,-73.131119875058,3,IIFDS-PPO-Modify
153,-72.35134679847856,4,IIFDS-PPO-Modify
154,-71.51776048864932,5,IIFDS-PPO-Modify
155,-70.84523920703347,6,IIFDS-PPO-Modify
156,-69.87565450530977,7,IIFDS-PPO-Modify
157,-68.64784521061615,8,IIFDS-PPO-Modify
158,-67.4015111568598,9,IIFDS-PPO-Modify
159,-65.94762893236734,10,IIFDS-PPO-Modify
160,-64.7013002422287,11,IIFDS-PPO-Modify
161,-63.414960290209116,12,IIFDS-PPO-Modify
162,-62.319690794108126,13,IIFDS-PPO-Modify
163,-61.14717387349807,14,IIFDS-PPO-Modify
164,-60.354498894425774,15,IIFDS-PPO-Modify
165,-59.75837151852547,16,IIFDS-PPO-Modify
166,-59.53512145343116,17,IIFDS-PPO-Modify
167,-59.658189197264825,18,IIFDS-PPO-Modify
168,-59.90165671001125,19,IIFDS-PPO-Modify
169,-60.28608696701916,20,IIFDS-PPO-Modify
170,-60.48175989720303,21,IIFDS-PPO-Modify
171,-60.47271629711171,22,IIFDS-PPO-Modify
172,-60.49012728074892,23,IIFDS-PPO-Modify
173,-60.0501793053856,24,IIFDS-PPO-Modify
174,-59.48468769028104,25,IIFDS-PPO-Modify
175,-59.02862314387282,26,IIFDS-PPO-Modify
176,-59.16025766255609,27,IIFDS-PPO-Modify
177,-59.17301649071006,28,IIFDS-PPO-Modify
178,-59.80006094087658,29,IIFDS-PPO-Modify
179,-60.48251593556265,30,IIFDS-PPO-Modify
180,-60.98713875164655,31,IIFDS-PPO-Modify
181,-61.10654821848715,32,IIFDS-PPO-Modify
182,-60.441088763886704,33,IIFDS-PPO-Modify
183,-60.11787759105177,34,IIFDS-PPO-Modify
184,-59.80473338486782,35,IIFDS-PPO-Modify
185,-60.027017375748265,36,IIFDS-PPO-Modify
186,-60.4898123508094,37,IIFDS-PPO-Modify
187,-61.24116641407545,38,IIFDS-PPO-Modify
188,-61.717051156174634,39,IIFDS-PPO-Modify
189,-61.58342607808478,40,IIFDS-PPO-Modify
